"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"United Kingdom","GBR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","459010","468000","475000","482210","475000","465220","462363","455375","462376","446813","458468","464915","470000","475796","494738","482871","480280","480280","508174","512494","515455","520808","529438","523740","525549","520495","519495","515000","509780","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.159658360109","105.364211723991","103.548775065059","105.56217429713","140.4861237076","177.584800762719","141.492988739422","174.263314149557","227.691115202015","219.425611381623","223.862238622386","","",
"United Kingdom","GBR","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319.05012098168","314.189786181304","287.334593572779","272.82248210857","254.18444371513","254.067378800329","208.159866777685","239.874359398248","251.926298157454","238.700098977235","234.385061171925","","",
"United Kingdom","GBR","Agricultural land (sq. km)","AG.LND.AGRI.K2","198000","197790","197470","197030","195850","195500","195540","194260","193800","188490","188430","187560","186960","186380","185830","185680","184900","184780","184520","184690","183200","182810","182160","182020","181680","181300","181160","184230","183060","182030","181430","180700","175340","174090","173790","174940","175850","175180","172190","169640","169530","169760","169560","170510","169560","178380","176470","176840","173250","172240","171640","171820","","",
"United Kingdom","GBR","Agricultural land (% of land area)","AG.LND.AGRI.ZS","81.8418550820485","81.7550531145373","81.6227834497582","81.440912660687","80.9531682718142","80.808498325962","80.8250320340594","80.2959533749432","80.1058157318233","77.9109659818956","77.8861654197495","77.5265572686314","77.2785516471707","77.0388128797586","76.8114743934196","76.7494729880544","76.4270656801554","76.3774645558633","76.2699954532303","76.3402637126441","75.7243830860166","75.5631794320671","75.2945066754846","75.2366386971438","75.096102178316","74.9390319513909","74.8811639730501","76.1501260695242","75.6665151076758","75.2407721241681","74.9927665027074","74.6910263299301","72.4755094448807","71.9588310668375","71.8348282561071","72.3101723639069","72.6863142231224","72.4093746124912","71.1734799322118","70.1194560410036","70.0739883437358","70.1690571652957","70.0863886248088","70.4790641921217","70.0863886248088","73.7320712602819","72.9425866986318","73.0955234985326","71.6116231967925","71.1941470673335","70.9461414458728","71.020543132311","","",
"United Kingdom","GBR","Arable land (hectares)","AG.LND.ARBL.HA","7175000","7236000","7275000","7354000","7339000","7324000","7309000","7277000","7163000","7102000","7132000","7129000","7075000","7067000","6869000","6894000","6921000","6936000","6829000","6918000","6907000","6913000","6899000","6922000","6990000","6940000","6935000","6886000","6702000","6620000","6567000","6554000","6091000","5911000","5936000","6098000","6368000","6253000","5917000","5876000","5651000","5786000","5659000","5819000","5729000","6094000","6085000","6005000","6049000","5970000","6062000","6212000","","",
"United Kingdom","GBR","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","0.135890151515152","0.135887323943662","0.135601118359739","0.136185185185185","0.13503704364738","0.134020146939074","0.133027322563501","0.131801773899373","0.129198663462102","0.127588669364437","0.127593594293482","0.127108221979916","0.125901940592898","0.125680299976664","0.122168114993473","0.122642921877419","0.123163728639608","0.123424047873156","0.121411025461629","0.122846423006226","0.1226083886469","0.122758888916453","0.122468510734625","0.12268248496794","0.123606841262008","0.122438762799702","0.122090663981318","0.120959114080412","0.117420921468303","0.115638063760453","0.114358063193392","0.113823449860597","0.105529214544202","0.102150244501302","0.102311258909361","0.104836165554494","0.109196375379962","0.106912389511397","0.100830800123499","0.0997749900776863","0.0955857790350092","0.09745584164817","0.0948739292461117","0.0970028874987383","0.0948490995361914","0.10015313865211","0.0992295433404232","0.0971572877794819","0.0971317004053069","0.095114636636995","0.0958283858095708","0.0975262265402679","","",
"United Kingdom","GBR","Arable land (% of land area)","AG.LND.ARBL.ZS","29.6573388996817","29.9094779481668","30.0706816021163","30.3972223370396","30.3352209316744","30.2732195263093","30.2112181209441","30.078948456165","29.6077377753896","29.3555987269045","29.4796015376349","29.4672012565618","29.2439961972471","29.2109287810524","28.3925102302319","28.4958459058405","28.6074484354979","28.6694498408631","28.2271731492581","28.5950481544248","28.549580457157","28.5743810193031","28.5165130409623","28.6115818625222","28.8926549001777","28.6859835489604","28.6653164138387","28.4627784896458","27.7022279171661","27.3632869011698","27.1442152688794","27.0904807175629","25.1767040052908","24.4326871409085","24.5360228165172","25.2056379944612","26.3216632910346","25.8463191832348","24.4574877030546","24.2880171950564","23.3579961145786","23.9160087628653","23.3910635307734","24.0524118546687","23.6804034224776","25.1891042863638","25.1519034431447","24.821229281197","25.0031000702683","24.6765593353449","25.0568346215848","25.6768486752366","","",
"United Kingdom","GBR","Land under cereal production (hectares)","AG.LND.CREL.HA","3060601","3201027","3261715","3427053","3657704","3791421","3826331","3813396","3699550","3717376","3814169","3804376","3756082","3752402","3655432","3685000","3706043","3816928","3872808","3938550","3979000","4030000","3962000","4038000","4021000","4029000","3940700","3901000","3874255","3657300","3499700","3488604","3032488","3044000","3182136","3357200","3513500","3417800","3141100","3348200","3013315","3245800","3060100","3133200","2917900","2862600","2883000","3272481","3075000","3012500","3076000","3141000","3028000","",
"United Kingdom","GBR","Permanent cropland (% of land area)","AG.LND.CROP.ZS","0.496011242921506","0.475344107799777","0.51254495101889","0.471210680775431","0.450543545653702","0.446410118629356","0.44227669160501","0.434009837556318","0.405075848385897","0.400942421361551","0.388542140288513","0.376141859215476","0.367875005166784","0.359608151118092","0.3513412970694","0.334807588972017","0.326540734923325","0.322407307898979","0.330674161947671","0.322407307898979","0.310007026825941","0.30174017277725","0.293473318728558","0.28107303765552","0.293473318728558","0.28107303765552","0.28107303765552","0.28107303765552","0.28107303765552","0.272806183606828","0.272806183606828","0.264539329558137","0.252139048485099","0.252139048485099","0.235605340387715","0.23147191336337","0.235605340387715","0.219071632290332","0.21080477824164","0.214938205265986","0.21080477824164","0.206671351217294","0.202537924192948","0.202537924192948","0.194271070144257","0.186004216095565","0.190137643119911","0.190137643119911","0.177737362046873","0.190137643119911","0.186004216095565","0.190137643119911","","",
